"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Ca_Diss_Water_dl","Cl_Diss_Water","Cl_Diss_Water_dl","DMS_Tot_Water","DMS_Tot_Water_dl","EC_Phys_Water","EC_Phys_Water_dl","F_Diss_Water","F_Diss_Water_dl","K_Diss_Water","K_Diss_Water_dl","Mg_Diss_Water","Mg_Diss_Water_dl","Na_Diss_Water","Na_Diss_Water_dl","NH4_N_Diss_Water","NH4_N_Diss_Water_dl","NO3_NO2_N_Diss_Water","NO3_NO2_N_Diss_Water_dl","pH_Diss_Water","pH_Diss_Water_dl","PO4_P_Diss_Water","PO4_P_Diss_Water_dl","Si_Diss_Water","Si_Diss_Water_dl","SO4_Diss_Water","SO4_Diss_Water_dl","TAL_Diss_Water","TAL_Diss_Water_dl","Station","Qat"
90209,1980-11-05 10:30:00,9,"DWS-RQIS","NONE",43.2,1,49.1,3,394,1,60.9,1,0.62,0.1,5.9,0.3,23.3,1,44.5,2,0.42,0.04,0.28,0.04,8.01,2,0.49,0.005,4.86,0.4,91.9,4,108.3,4,"A2H067Q01","A21J"
90209,1980-11-05 11:30:00,9,"DWS-RQIS","NONE",43.5,1,48.1,3,398,1,62.2,1,0.74,0.1,6.14,0.3,24,1,44.9,2,0.52,0.04,0.26,0.04,7.84,2,0.505,0.005,4.9,0.4,91.3,4,111.1,4,"A2H067Q01","A21J"
90209,1980-11-05 12:30:00,9,"DWS-RQIS","NONE",42.9,1,48.1,3,396,1,62.1,1,0.71,0.1,6.08,0.3,23.6,1,46.5,2,0.34,0.04,0.28,0.04,8.13,2,0.476,0.005,4.87,0.4,92,4,109.2,4,"A2H067Q01","A21J"
90209,1980-11-05 14:30:00,9,"DWS-RQIS","NONE",44.5,1,48.5,3,398,1,62.2,1,0.74,0.1,6.14,0.3,24,1,46.1,2,0.33,0.04,0.28,0.04,8.19,2,0.479,0.005,4.88,0.4,92.1,4,109.3,4,"A2H067Q01","A21J"
90209,1980-11-05 16:30:00,9,"DWS-RQIS","NONE",43.4,1,48.1,3,391,1,62.3,1,0.75,0.1,6.2,0.3,23.6,1,44.9,2,0.3,0.04,0.32,0.04,7.87,2,0.483,0.005,4.98,0.4,89.6,4,107.5,4,"A2H067Q01","A21J"
90209,1980-11-05 18:30:00,9,"DWS-RQIS","NONE",43.3,1,48.1,3,396,1,62.3,1,0.73,0.1,6.14,0.3,23.6,1,46.1,2,0.36,0.04,0.28,0.04,7.95,2,0.478,0.005,4.8,0.4,91.1,4,109.3,4,"A2H067Q01","A21J"
90209,1980-11-05 20:30:00,9,"DWS-RQIS","NONE",44.7,1,48.1,3,398,1,62.3,1,0.74,0.1,6.14,0.3,24,1,46.1,2,0.35,0.04,0.29,0.04,7.92,2,0.487,0.005,4.9,0.4,91.6,4,109.3,4,"A2H067Q01","A21J"
90209,1980-11-06 04:30:00,9,"DWS-RQIS","NONE",43.1,1,48.5,3,394,1,63.7,1,0.84,0.1,6.08,0.3,23.7,1,44.9,2,0.33,0.04,0.27,0.04,7.78,2,0.458,0.005,4.93,0.4,89.9,4,109.6,4,"A2H067Q01","A21J"
90209,1980-11-06 06:30:00,9,"DWS-RQIS","NONE",42.8,1,48.1,3,394,1,62.6,1,0.75,0.1,6.26,0.3,23.5,1,45.3,2,0.2,0.04,0.3,0.04,8.19,2,0.439,0.005,4.94,0.4,91.2,4,109.6,4,"A2H067Q01","A21J"
90209,1980-11-06 09:30:00,9,"DWS-RQIS","NONE",43.5,1,48,3,396,1,62.4,1,0.73,0.1,6.26,0.3,23.8,1,45.7,2,0.3,0.04,0.28,0.04,7.98,2,0.458,0.005,5.04,0.4,90.1,4,110.5,4,"A2H067Q01","A21J"
90209,1980-11-06 10:15:00,9,"DWS-RQIS","NONE",43.5,1,48.1,3,396,1,62.5,1,0.74,0.1,6.2,0.3,23.7,1,45.3,2,0.35,0.04,0.26,0.04,8.16,2,0.471,0.005,4.95,0.4,91,4,110.6,4,"A2H067Q01","A21J"
90209,1980-11-06 11:15:00,9,"DWS-RQIS","NONE",42.7,1,48.9,3,396,1,63,1,0.77,0.1,6.08,0.3,23.7,1,45.3,2,0.45,0.04,0.26,0.04,7.78,2,0.499,0.005,4.91,0.4,88.9,4,111.6,4,"A2H067Q01","A21J"
90209,1980-11-06 12:30:00,9,"DWS-RQIS","NONE",42.6,1,48.1,3,393,1,62.3,1,0.73,0.1,6.14,0.3,23.3,1,44.5,2,0.54,0.04,0.26,0.04,7.81,2,0.514,0.005,4.91,0.4,89.6,4,110.2,4,"A2H067Q01","A21J"
90209,1980-11-06 13:15:00,9,"DWS-RQIS","NONE",43,1,48,3,394,1,62.4,1,0.72,0.1,6.38,0.3,23.8,1,44.5,2,0.56,0.04,0.23,0.04,7.9,2,0.513,0.005,4.96,0.4,88.5,4,111.4,4,"A2H067Q01","A21J"
90209,1980-11-06 14:15:00,9,"DWS-RQIS","NONE",42.8,1,47.6,3,396,1,62.8,1,0.71,0.1,6.2,0.3,23.5,1,45.7,2,0.64,0.04,0.23,0.04,7.87,2,0.519,0.005,4.97,0.4,89.4,4,112.3,4,"A2H067Q01","A21J"
90209,1980-11-06 14:30:00,9,"DWS-RQIS","NONE",43.1,1,47.8,3,395,1,62.2,1,0.73,0.1,6.14,0.3,23.8,1,46.1,2,0.45,0.04,0.27,0.04,7.87,2,0.496,0.005,4.92,0.4,89.5,4,110.3,4,"A2H067Q01","A21J"
90209,1980-11-06 16:15:00,9,"DWS-RQIS","NONE",43.9,1,47.6,3,396,1,62.7,1,0.72,0.1,6.38,0.3,23.7,1,45.7,2,0.32,0.04,0.28,0.04,7.95,2,0.473,0.005,4.88,0.4,89.3,4,111.5,4,"A2H067Q01","A21J"
90209,1980-11-06 18:15:00,9,"DWS-RQIS","NONE",43.9,1,49.1,3,402,1,63.2,1,0.67,0.1,6.85,0.3,24,1,46.1,2,0.3,0.04,0.29,0.04,7.9,2,0.485,0.005,5.35,0.4,91.8,4,111.5,4,"A2H067Q01","A21J"
90209,1980-11-06 20:15:00,9,"DWS-RQIS","NONE",42.7,1,48.1,3,395,1,62.4,1,0.72,0.1,6.08,0.3,24,1,45.3,2,0.43,0.04,0.28,0.04,7.95,2,0.46,0.005,4.9,0.4,90.5,4,109.9,4,"A2H067Q01","A21J"
