"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Ca_Diss_Water_dl","Cl_Diss_Water","Cl_Diss_Water_dl","DMS_Tot_Water","DMS_Tot_Water_dl","EC_Phys_Water","EC_Phys_Water_dl","F_Diss_Water","F_Diss_Water_dl","K_Diss_Water","K_Diss_Water_dl","KJEL_N_Tot_Water","KJEL_N_Tot_Water_dl","Mg_Diss_Water","Mg_Diss_Water_dl","Na_Diss_Water","Na_Diss_Water_dl","NH4_N_Diss_Water","NH4_N_Diss_Water_dl","NO3_NO2_N_Diss_Water","NO3_NO2_N_Diss_Water_dl","P_Tot_Water","P_Tot_Water_dl","pH_Diss_Water","pH_Diss_Water_dl","PO4_P_Diss_Water","PO4_P_Diss_Water_dl","Si_Diss_Water","Si_Diss_Water_dl","SO4_Diss_Water","SO4_Diss_Water_dl","TAL_Diss_Water","TAL_Diss_Water_dl","Station","Qat"
90213,1962-06-19 06:00:00,0,"DWS-RQIS","NONE",42,1,41,3,#n/a,#n/a,61.1,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,23,1,55,2,#n/a,#n/a,18.3,0.04,#n/a,#n/a,7.5,2,#n/a,#n/a,#n/a,#n/a,103,4,90.2,4,"A2H082Q01","A21J"
90213,1962-07-17 06:00:00,0,"DWS-RQIS","NONE",41,1,41,3,#n/a,#n/a,61.1,1,0.45,0.1,#n/a,#n/a,#n/a,#n/a,24,1,45,2,#n/a,#n/a,16.04,0.04,#n/a,#n/a,7.2,2,#n/a,#n/a,#n/a,#n/a,86,4,92.7,4,"A2H082Q01","A21J"
90213,1962-08-21 06:00:00,0,"DWS-RQIS","NONE",42,1,44,3,#n/a,#n/a,70,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,25,1,60,2,#n/a,#n/a,20.33,0.04,#n/a,#n/a,8.2,2,#n/a,#n/a,#n/a,#n/a,98,4,100.1,4,"A2H082Q01","A21J"
90213,1962-09-18 06:00:00,0,"DWS-RQIS","NONE",44,1,53,3,#n/a,#n/a,66.7,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,24,1,52,2,#n/a,#n/a,18.98,0.04,#n/a,#n/a,8.1,2,#n/a,#n/a,#n/a,#n/a,77,4,100.1,4,"A2H082Q01","A21J"
90213,1962-10-19 06:00:00,0,"DWS-RQIS","NONE",42,1,50,3,#n/a,#n/a,66.7,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,26,1,24,2,#n/a,#n/a,15.36,0.04,#n/a,#n/a,7.2,2,#n/a,#n/a,#n/a,#n/a,70,4,112.4,4,"A2H082Q01","A21J"
90213,1962-11-20 06:00:00,0,"DWS-RQIS","NONE",22,1,41,3,#n/a,#n/a,60,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,37,1,45,2,#n/a,#n/a,13.33,0.04,#n/a,#n/a,7.3,2,#n/a,#n/a,#n/a,#n/a,72,4,125.5,4,"A2H082Q01","A21J"
90213,1962-12-18 06:00:00,0,"DWS-RQIS","NONE",35,1,39,3,#n/a,#n/a,51.1,1,0.45,0.1,#n/a,#n/a,#n/a,#n/a,19,1,46,2,#n/a,#n/a,14.01,0.04,#n/a,#n/a,7.5,2,#n/a,#n/a,#n/a,#n/a,74,4,85.3,4,"A2H082Q01","A21J"
90213,1963-01-15 06:00:00,0,"DWS-RQIS","NONE",32,1,36,3,#n/a,#n/a,48.9,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,31,2,#n/a,#n/a,10.62,0.04,#n/a,#n/a,6.9,2,#n/a,#n/a,#n/a,#n/a,48,4,85.3,4,"A2H082Q01","A21J"
90213,1963-07-16 06:00:00,0,"DWS-RQIS","NONE",42,1,46,3,#n/a,#n/a,55.6,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,51,2,#n/a,#n/a,8.36,0.04,#n/a,#n/a,7.1,2,#n/a,#n/a,#n/a,#n/a,70,4,119.7,4,"A2H082Q01","A21J"
90213,1963-11-19 06:00:00,0,"DWS-RQIS","NONE",40,1,50,3,#n/a,#n/a,50,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,18,1,54,2,#n/a,#n/a,5.65,0.04,#n/a,#n/a,7.2,2,#n/a,#n/a,#n/a,#n/a,65,4,83.7,4,"A2H082Q01","A21J"
90213,1963-12-17 06:00:00,0,"DWS-RQIS","NONE",28,1,36,3,#n/a,#n/a,42.2,1,0.4,0.1,#n/a,#n/a,#n/a,#n/a,17,1,26,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.3,2,#n/a,#n/a,#n/a,#n/a,41,4,105,4,"A2H082Q01","A21J"
90213,1964-01-14 06:00:00,0,"DWS-RQIS","NONE",30,1,36,3,#n/a,#n/a,40,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,21,1,28,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.8,2,#n/a,#n/a,#n/a,#n/a,53,4,114.8,4,"A2H082Q01","A21J"
90213,1964-02-18 06:00:00,0,"DWS-RQIS","NONE",32,1,36,3,#n/a,#n/a,38.9,1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,15,1,28,2,#n/a,#n/a,0.02,0.04,#n/a,#n/a,7.1,2,#n/a,#n/a,#n/a,#n/a,34,4,114.8,4,"A2H082Q01","A21J"
